,original,translation,perturbed1,tq1,p1tq,perturbed2,p2tq,perturbed3,p3tq
11,"Unele foste entități de stat sunt administrate de de stat , care este acționar al mai multor companii publice și private.","Some former state entities are managed by the State, which is a shareholder of several public and private companies.","Some former state entities are managed by the State, recovery. is a shareholder of several public and private companies.",0.8718458,0.677482,"Some former state entities are managed by the State, which is a shareholder of several public and private companies. 9",0.8609385,"Some former state entities are managed by the State, which is a of several public and private companies.",0.82057124
12,"Forțele armate ale Norvegiei mobilizaseră cam 55.000 de militari, cei mai mulți organizați în șase divizii de infanterie.","The Norwegian armed forces had deployed some 55.000 soldiers, most organised in six infantry divisions.","The Norwegian 1927, forces had deployed some 55.000 soldiers, most organised in six infantry divisions.",0.8960863,0.6159933,"The Norwegian armed forces had deployed some 55.000 soldiers, most organised in six infantry divisions. variations",0.7038406,"The Norwegian armed forces had deployed some 55.000 soldiers, most in six infantry divisions.",0.8640605
13,"Din prudență,Augustus a securizat teritoriile de la vest de Rin pentru a preveni incursiunile.","On the grounds of prudence, Augustus secured the western Rhine territories to prevent incursions.","On the grounds of prudence, Augustus secured the western Ruhr. territories to prevent incursions.",0.8711254,0.8095487,"On the grounds of prudence, Augustus secured the western Rhine territories to prevent incursions. hulls",0.6974367,On the grounds of Augustus secured the western Rhine territories to prevent incursions.,0.4756214
14,"Trei noi lagăre au fost construite doar pentru scopul de a ucide un număr mare de evrei cât de repede posibil, la Bełżec, Sobibór și Treblinka.","Three new camps were built solely to kill a large number of Jews as quickly as possible in Bełżec, Sobibór and Treblinka.","Three new camps were built solely to kill a large number apply Jews as quickly as possible in Bełżec, Sobibór and Treblinka.",0.896923,0.81201684,"Three new camps were built solely to kill a large number of Jews as quickly as possible in Bełżec, Sobibór and Treblinka. messengers.",0.7176455,"Three new camps were built solely to kill a large number of Jews as quickly as in Bełżec, Sobibór and Treblinka.",0.85023403
15,Otomanii au pretins că originea conflictelor interetnice ar trebui căutată în mișcarea și sursele care sprijineau conflicte cu obiective obscure.,Ottomans claimed that the origin of interethnic conflicts should be sought in the movement and sources supporting conflicts with obscure objectives.,Ottomans claimed that the origin of interethnic conflicts should be sought in the movement and sources supporting conflicts pay obscure objectives.,0.56036663,0.5195155,Ottomans claimed that the origin of interethnic conflicts should be sought in the movement and sources supporting conflicts with obscure objectives. prominent,0.52614635,Ottomans claimed that origin of interethnic conflicts should be sought in the movement and sources supporting conflicts with obscure objectives.,0.55900675
16,Astăzi colecția de drapele și stindarde a muzeului numără 10.826 de exponate.,"Today, the collection of flags and strings of museums numbers 10.826 exponates.","Today, Right-wing collection of flags and strings of museums numbers 10.826 exponates.",0.61406213,0.49898195,"Today, the collection of flags and strings of museums numbers 10.826 exponates. judiciously",0.49908864,"Today, the of flags and strings of museums numbers 10.826 exponates.",0.53908765
17,"Tancul AMX 56 Leclerc francez, Leopard 2 și Merkava sunt alte tancuri grele echipate cu blindaje stratificate moderne.","The tank AMX 56 Leclerc French, Leopard 2 and Merkava are other heavy tanks equipped with modern stratified armour.","The tank AMX 56 Leclerc French, Leopard 2 and Merkava are other heavy tanks equipped complaint modern stratified armour.",0.8603954,0.8048462,"The tank AMX 56 Leclerc French, Leopard 2 and Merkava are other heavy tanks equipped with modern stratified armour. Firewire",0.83261955,"The tank AMX 56 Leclerc French, Leopard 2 and Merkava are other heavy tanks with modern stratified armour.",0.8504747
18,"Brandurile private au inceput sa apară odată cu reformele economice, dar acestea încă reprezintă doar o mică parte din piața media.","According to the information provided by Germany, the aid was granted in the form of a lease for the use of the infrastructure.","According to the ininheritedmation provided by Germany, the aid was granted in the form of a lease for the use of the infrastructure.",0.10052332,0.10283966,"According to the information provided by Germany, the aid was granted in the form of a lease for the use of the infrastructure. tradition",0.09881598,"According to the provided by Germany, the aid was granted in the form of a lease for the use of the infrastructure.",0.09657782
19,"Dintre acestea, aproape 1500 sunt specii care formează licheni.","Of these, almost 1500 are species that form liquids.","Of these, designated 1500 are species that form liquids.",0.71697485,0.6027079,"Of these, almost 1500 are species that form liquids. detentions",0.5868873,"Of these, almost 1500 species that form liquids.",0.6674692
20,"Deutsche Bahn duce trenurile la destinații interne precum Hamburg, München, Köln și altele.","Deutsche Bahn takes trains to domestic destinations such as Hamburg, Munich, Cologne and others.","Deutsche Bahn takes trains to domestic destinations Three as Hamburg, Munich, Cologne and others.",0.90571374,0.826549,"Deutsche Bahn takes trains to domestic destinations such as Hamburg, Munich, Cologne and others. shoes",0.79519045,"Deutsche Bahn takes to domestic destinations such as Hamburg, Munich, Cologne and others.",0.7046689
21,"Aeroportul era bine cunoscut de piloții Luftwaffe, pentru că fusese bază aeriană germană după ocuparea Franței.","In this respect, the Commission notes that the marketing services agreement was signed on the same date as the airport services agreement.","In this respect, the Commission notes Joao the marketing services agreement was signed on the same date as the airport services agreement.",0.08847807,0.0896958,"In this respect, the Commission notes that the marketing services agreement was signed on the same date as the airport services agreement. Galia,",0.088326335,"In this respect, Commission notes that the marketing services agreement was signed on the same date as the airport services agreement.",0.09047386
22,Astfel reușește să reinstaureze Republica după care se retrage.,This succeeds in restoring the Republic after which it withdraws.,This wives in restoring the Republic after which it withdraws.,0.62718874,0.39656395,"This succeeds in restoring the Republic after which it withdraws. zeal,",0.44979563,This in restoring the Republic after which it withdraws.,0.42489082
23,Patrioții italieni au organizat referendumuri privind unirea cu Piemontul.,Italian atriots held referendums on the linking with Piedmont.,Italian atriots invades referendums on the linking with Piedmont.,0.6274797,0.39776975,Italian atriots held referendums on the linking with Piedmont. closing,0.55238914,atriots held referendums on the linking with Piedmont.,0.48553193
24,"Din punctul de vedere belgian, Planul Dyle avea anumite avantaje.","From a Belgian point of view, the Dyle Plan had certain advantages.","From a Belgian point of view, the Dyle Plan had certain Gepid",0.86601835,0.63754857,"From a Belgian point of view, the Dyle Plan had certain advantages. parboilers,",0.6680559,"From a Belgian point of view, the Plan had certain advantages.",0.72882074
25,Regiunile costiere al Olandei erau greu de abordat din punct de vedere militar datorită numeroaselor cursuri de apă.,The coastal regions of the Netherlands were hard to deal with militarily due to numerous watercourses.,The coastal regions of the Netherlands were hard to deal with militarily annually. to numerous watercourses.,0.88049823,0.59960335,The coastal regions of the Netherlands were hard to deal with militarily due to numerous watercourses. street,0.7893196,The coastal regions of the were hard to deal with militarily due to numerous watercourses.,0.7547959
26,"Cuprul a fost probabil folosit pentru prima dată în Egipt, înainte de 5000 î.en.",Copper was probably used for the first time in Egypt before 5000.,Copper was probably used hamper the first time in Egypt before 5000.,0.87288314,0.61891615,Copper was probably used for the first time in Egypt before 5000. 720,0.70508015,Copper was probably used for the first time in Egypt before,0.79194415
27,", care raportează Ministerului Justiției, gestionează majoritatea penitenciarelor din Anglia și Țara Galilor.",", which reports to the Ministry of Justice, manages the majority of the prisons in England and Wales.",", which reports make the Ministry of Justice, manages the majority of the prisons in England and Wales.",0.89799035,0.6910602,", which reports to the Ministry of Justice, manages the majority of the prisons in England and Wales. cascade.",0.6597507,", which reports to the Ministry of Justice, the majority of the prisons in England and Wales.",0.7889185
28,thumbleftCastelul de la [[Kuressaare de pe Saaremaa,JumbleftCastul de la [Kuressaare from Saaremaa],"Verdun, de la [Kuressaare from Saaremaa]",0.38659722,0.2934689,"JumbleftCastul de la [Kuressaare from Saaremaa] test,",0.34647125,JumbleftCastul de la from Saaremaa],0.3108183
29,Această necropolă susține ipoteza că aici exista o așezare stabilă.,This necropolis supports the assumption that there was a stable settlement here.,third necropolis supports the assumption that there was a stable settlement here.,0.81820095,0.67659247,This necropolis supports the assumption that there was a stable settlement here. queue,0.6678583,This necropolis supports the assumption that there was stable settlement here.,0.81406265
30,"de carte, pe când mama, Maria, era analfabetă), al doilea dintre cei opt copii ai familiei","book, while mother, Maria, was illiterate), the second of the eight children of the family","book, while mosecurer, Maria, was illiterate), the second of the eight children of the family",0.6680961,0.40382496,"book, while mother, Maria, was illiterate), the second of the eight children of the family Kendeffy",0.57633084,"book, while mother, Maria, illiterate), the second of the eight children of the family",0.63194925
31,"Guvernarea a durat trei ani și în 1901 a fost adoptată o lege asupra asociațiilor, organizațiilor și partidelor politice ce se pot formă în mod legal.","Governance lasted three years and in 1901 a law was passed on associations, organisations and political parties that can be legally formed.","Governance lasted three years and in 1901 a law was passed on associations, organisations and political parties that can be compound, formed.",0.88698,0.578042,"Governance lasted three years and in 1901 a law was passed on associations, organisations and political parties that can be legally formed. environment.",0.75688803,"Governance lasted three years and in 1901 a law was passed on associations, organisations and political parties that can be legally",0.84096295
32,"El este vizitat de vechiul său prieten, directorul imperial Orson Krennic.","He is visited by his old friend, imperial director Orson Krennic.","Minea's is visited by his old friend, imperial director Orson Krennic.",0.8620394,0.54817456,"He is visited by his old friend, imperial director Orson Krennic. midnight",0.652504,"He visited by his old friend, imperial director Orson Krennic.",0.8062989
33,Acestea sunt însă în curs de eliminare și înlocuire cu calificările naționale ale Curriculumului pentru Excelență.,"They are, however, being removed and replaced by the national qualifications of the Excellency Curriculum.","They are, however, being removed and replaced by the national qualifications Efes, the Excellency Curriculum.",0.8191069,0.52772087,"They are, however, being removed and replaced by the national qualifications of the Excellency Curriculum. summary.",0.74069023,"They are, however, being removed and replaced by national qualifications of the Excellency Curriculum.",0.80609447
34,Majoritatea musulmanilor sloveni provin din Bosnia.,Most Slovak Muslims come from Bosnia.,Most Slovak Muslims come from fortify,0.9213267,0.59378886,Most Slovak Muslims come from Bosnia. bulk,0.75326276,Most Slovak Muslims come Bosnia.,0.6413676
35,Un studiu genetic efectuat în 2006 a arătat că peste 50% din bazinul genetic al Angliei conține cromozomi Y germanici.,A genetic study carried out in 2006 showed that more than 50% of the genetically modified basin of England contains Y German chromosome.,A genetic study carried out in 2006 showed that more than 50% open the genetically modified basin of England contains Y German chromosome.,0.8610498,0.7632485,A genetic study carried out in 2006 showed that more than 50% of the genetically modified basin of England contains Y German chromosome. III.,0.79199415,A genetic study carried out in 2006 showed that more than 50% of the modified basin of England contains Y German chromosome.,0.7595647
36,În luna septembrie a avut loc o bătălie în regiunea muntoasă Kajmakčalan între trupele sârbe și cele bulgare.,"In September, a battle took place in the mountainous region of Kajmakčalan between Serbian and Bulgarian troops.","In September, a battle took place in the mountainous region of Kajmakčalan between Serbian and actions troops.",0.90013736,0.69464254,"In September, a battle took place in the mountainous region of Kajmakčalan between Serbian and Bulgarian troops. shi",0.8281309,"In September, a battle took place the mountainous region of Kajmakčalan between Serbian and Bulgarian troops.",0.8607703
37,loc de eroică și răsunătoare izbândă a armatei române.,a prominent place of heroic and resounding by the Romanian army.,a prominent place of heroic and topic. by the Romanian army.,0.4883605,0.41800088,"a prominent place of heroic and resounding by the Romanian army. again,",0.45964617,a prominent place of heroic and resounding the Romanian army.,0.48519504
38,"Vârsta de absolvire a școlii este 16 ani, după care elevii pot alege să rămână în școală și să studieze pentru calificările , sau și .","The school age shall be 16 years, after which pupils may choose to stay in school and study for their qualifications, or.","The school age shall be 16 years, after which pupils may choose to stay 72, school and study for their qualifications, or.",0.83254385,0.63117117,"The school age shall be 16 years, after which pupils may choose to stay in school and study for their qualifications, or. blood",0.74399203,"The school age shall be 16 years, after which pupils may choose to stay in school and for their qualifications, or.",0.7192259
39,"Președintele are rol decorativ, având însă și câteva puteri constituționale în cadrul .","The President has a decorative role, but also some constitutional powers within the framework.","The President has a decorative role, but also some Falkenhayn powers within the framework.",0.8569988,0.49148536,"The President has a decorative role, but also some constitutional powers within the framework. East.",0.7460731,"The President has a decorative role, but also some powers within the framework.",0.7574256
40,Cele trei armate trebuiau să invadeze Serbia și Muntenegru și să învăluiască armata sârbă pe flancuri.,The three armies were supposed to invade Serbia and Montenegro and learn the Serbian army on sidewalls.,The three armies were supposed to invade Serbia and Montenegro and learn the Serbian army on Russian.,0.6251472,0.5199686,The three armies were supposed to invade Serbia and Montenegro and learn the Serbian army on sidewalls. despite,0.5749113,The three armies were to invade Serbia and Montenegro and learn the Serbian army on sidewalls.,0.6192101
41,"Grupul reușește să scape și îl ia și pe Bodhi, dar Saw rămane și este distrus.","It also escapes and takes away Bodhi, but Saw evil and is destroyed.","It also escapes and takes away Bodhi, but Saw crew and is destroyed.",0.52221173,0.5005226,"It also escapes and takes away Bodhi, but Saw evil and is destroyed. Hinko",0.46393502,"It also and takes away Bodhi, but Saw evil and is destroyed.",0.41706312
42,"Acești prizonieri au fost internați în lagăre de prizonieri de război din Germania, de unde au fost eliberați doar după sfârșitul războiului.","These prisoners have been admitted to camps of prisoners of war in Germany, from where they were only released after the war.","These prisoners have been admitted to camps of prisoners of war latex Germany, from where they were only released after the war.",0.88558257,0.6343611,"These prisoners have been admitted to camps of prisoners of war in Germany, from where they were only released after the war. armies.",0.7270476,"These prisoners have been admitted to camps of prisoners of war in Germany, from where they were released after the war.",0.8689059
43,"Britanicii, americanii și germanii au cheltuit mari sume de bani pentru finanțarea aliaților lor.","British, Americans and Germans have spent a great deal of money on funding their allies.","British, Americans and Germans have spent a great deal of money on funding their 2002",0.85907084,0.58241814,"British, Americans and Germans have spent a great deal of money on funding their allies. 1316",0.75240105,"British, Americans Germans have spent a great deal of money on funding their allies.",0.8483225
44,"In timp ce tinerii joacă, vârstnicii îi urmăresc, punând la cale „târguri”.","While young people play, the elderly are watching them, putting together fairs.","While young people play, the elderly are watching them, putting together Often,",0.7922582,0.49854103,"While young people play, the elderly are watching them, putting together fairs. Normandy",0.5567821,"While young people play, the elderly are watching putting together fairs.",0.59008676
45,"În 1999 școala a fost vizitată de un grup de geologi și ingineri minieri din Ungaria, sub conducerea inginerului János.",In 1999 the school was visited by a group of miners and geologists in Hungary under the leadership of engineer János.,In 1999 the school edenic visited by a group of miners and geologists in Hungary under the leadership of engineer János.,0.8839094,0.67224336,In 1999 the school was visited by a group of miners and geologists in Hungary under the leadership of engineer János. I,0.85011107,In 1999 the school was visited by a of miners and geologists in Hungary under the leadership of engineer János.,0.8146812
46,"A suferit cenzura comandamentului chiar și când încerca să comunice cu soția sa Lucie, mesaje prin care ei se încurajau reciproc.","She suffered command censorship even when he tried to communicate with his wife of Lucie, which encouraged each other.","She suffered command censorship even when he tried to communicate with his wife of Lucie, regime. encouraged each other.",0.55721563,0.4987859,"She suffered command censorship even when he tried to communicate with his wife of Lucie, which encouraged each other. can",0.5389729,"She suffered command censorship even when he tried to communicate with his wife of Lucie, which encouraged each",0.5453525
47,"Croația are și o rețea extinsă de căi ferate, de , inclusiv de linie electrificată și de linie dublă.","Croatia also has a comprehensive network of railways, including electrified lines and double track.","Solnoc, also has a comprehensive network of railways, including electrified lines and double track.",0.8927158,0.44972295,"Croatia also has a comprehensive network of railways, including electrified lines and double track. instead",0.8275203,"Croatia also a comprehensive network of railways, including electrified lines and double track.",0.7285097
48,"A fost organizat până acum de către Total Nonstop Action Wrestling, numele","It has so far been organised by Total Nonstop Action Wrestling, name","It has so far been organised by called, Nonstop Action Wrestling, name",0.79420394,0.5847995,"It has so far been organised by Total Nonstop Action Wrestling, name agent.",0.5876096,"It has so far been organised by Total Nonstop Action Wrestling,",0.7737199
49,"Telegraph, ziar redactat de , îl susținuse anterior pe Jackson.","Telegraph, newspaper drafted by, previously supported Jackson.","Telegraph, newspaper drafted by, belongs supported Jackson.",0.82474023,0.46514773,"Telegraph, newspaper drafted by, previously supported Jackson. Families",0.61679596,"Telegraph, newspaper drafted previously supported Jackson.",0.5882253
50,Mii de civili de ambele părți au fost omorâți în urma raidurilor aeriene și bombardamentului cu rachete balistice.,Thousands of civilians on both sides were killed as a result of air raids and ballistic missile bombardment.,Thousands of civilians on both 640 were killed as a result of air raids and ballistic missile bombardment.,0.9077298,0.73707473,Thousands of civilians on both sides were killed as a result of air raids and ballistic missile bombardment. DOBRIDORE,0.65268785,Thousands of civilians on both sides were killed as a result of air raids and ballistic bombardment.,0.90730816
51,Numărul mediu anual de vizite la biserică în rândul persoanelor religioase este de circa două vizite.,The average annual church visits of religious people are about two visits.,The average annual church visits Development religious people are about two visits.,0.90057564,0.7307709,The average annual church visits of religious people are about two visits. end.,0.7718107,The average annual church visits religious people are about two visits.,0.7075109
52,Forțele britanice și franceze au reușit să se mențină pe poziții în ciuda eforturilor făcute de divizia germană.,The British and French forces were able to stand up in their positions despite the efforts of the German division.,The British and French forces were able to stand party. in their positions despite the efforts of the German division.,0.83356667,0.64839256,The British and French forces were able to stand up in their positions despite the efforts of the German division. Until,0.78179586,The British and French forces were able to stand up in positions despite the efforts of the German division.,0.7983175
53,"La sud de Polonia, între 500.000 și 1,2 milioane de sârbi au fost uciși în Balcani.","South of Poland, between 500.000 and 1.2 million Serbs were killed in the Balkans.","South of Poland, between Rural and 1.2 million Serbs were killed in the Balkans.",0.9100574,0.6838985,"South of Poland, between 500.000 and 1.2 million Serbs were killed in the Balkans. m,",0.8133357,"South of Poland, between 500.000 and 1.2 million Serbs were in the Balkans.",0.7617078
54,Orașul de la Dunăre are o tradiție veche în domeniul sportului.,The city of the Danube has an old tradition of sport.,The city practising the Danube has an old tradition of sport.,0.73815036,0.50996083,The city of the Danube has an old tradition of sport. may,0.67240655,The city of Danube has an old tradition of sport.,0.67823476
55,"Andrei Pleșu este primul cunoascut ca istoric al artei, dar de asemenea și ca filosof subtil.","Andrei Plejo is the first to know as an arts, but also as subtyl philosopher.",Andrei Plejo is the first to know as an Syrian but also as subtyl philosopher.,0.45739943,0.3652865,"Andrei Plejo is the first to know as an arts, but also as subtyl philosopher. Serbian",0.43007246,"Andrei Plejo is the first to know as an arts, also as subtyl philosopher.",0.4402538
56,"Curtea, prin decizia de casare cu rejudecare, credea în autonomia juridică a curții marțiale fără să ia în calcul legile „spiritului de trupă”.",The third subparagraph of paragraph 1 shall not apply to a third-country national who is subject to an international agreement concluded before 1 January 2016.,The third ended of paragraph 1 shall not apply to a third-country national who is subject to an international agreement concluded before 1 January 2016.,0.08493683,0.086258754,The third subparagraph of paragraph 1 shall not apply to a third-country national who is subject to an international agreement concluded before 1 January 2016. gas,0.085161135,The subparagraph of paragraph 1 shall not apply to a third-country national who is subject to an international agreement concluded before 1 January 2016.,0.084789515
57,Atacul german a fost respins de Divizia I marocană.,The German attack was rejected by Moroccan Division I.,The whether attack was rejected by Moroccan Division I.,0.87633765,0.52505463,The German attack was rejected by Moroccan Division I. onternary,0.58118486,The German attack rejected by Moroccan Division I.,0.8674918
58,"La final apare și Luke, acum un Jedi experimentat și cu o nouă sabie laser.","Luke is at the end of the day, now an experienced Jedi and with a new laser sabie.","Luke is at Adams end of the day, now an experienced Jedi and with a new laser sabie.",0.5979696,0.511665,"Luke is at the end of the day, now an experienced Jedi and with a new laser sabie. rabbit",0.5126277,"Luke is at the end of the day, now an experienced Jedi and with a new laser",0.5862916
59,"Când a izbucnit războiul între Franța și rivalii săi, forțele rusești și austriece au invadat Elveția.","When the war broke out between France and its rivals, Russian and Austrian forces invaded Switzerland.","When the war broke out between profitable and its rivals, Russian and Austrian forces invaded Switzerland.",0.90898645,0.60955113,"When the war broke out between France and its rivals, Russian and Austrian forces invaded Switzerland. son",0.83682054,"When the war broke out between France and its rivals, Russian and forces invaded Switzerland.",0.76181954
60,17 avioane Fw 190 din cadrul III./JG 54 au luat parte la misiune alături de aparatele de zbor ale JG 26.,17 Fw 190 aeroplanes in III. / JG 54 took part in the mission with the JG 26 aircraft.,17 Fw 190 bread in III. / JG 54 took part in the mission with the JG 26 aircraft.,0.7694883,0.5753323,17 Fw 190 aeroplanes in III. / JG 54 took part in the mission with the JG 26 aircraft. breastfeeding,0.5188879,17 Fw 190 aeroplanes in III. / JG took part in the mission with the JG 26 aircraft.,0.68046874
61,"Chiar dacă politicile liberale dominau continentul, în centrul Europei încă se regăseau monarhii autoritare.","Even though liberal policies dominated the continent, at the heart of Europe still reflected authoritarian monarchs.","Even though liberal policies dominated the continent, at the heart of Europe still reflected confining monarchs.",0.71882683,0.5574295,"Even though liberal policies dominated the continent, at the heart of Europe still reflected authoritarian monarchs. pilots",0.58567405,"Even though liberal policies dominated the continent, at the heart of Europe still reflected authoritarian",0.6211432
62,"Cu o doză de naivitate, se consideră că o Germanie ce prosperase va accepta ușor noul statut internațional.","With a dose of naivety, a prosperous German is thought to easily accept the new international status.","With a dose of naivety, a prosperous German is thought to easily powers. the new international status.",0.85152984,0.5823675,"With a dose of naivety, a prosperous German is thought to easily accept the new international status. pursuant",0.71837884,"With a dose of naivety, a German is thought to easily accept the new international status.",0.5896833
63,Dimitrie Poptămaș Editura Biblioteca Județean Mureș.,Dimitrie Popsilmaș Editura BLibteca Judeşean Mureș.,defiance Popsilmaș Editura BLibteca Judeşean Mureș.,0.51230174,0.42664403,Dimitrie Popsilmaș Editura BLibteca Judeşean Mureș. objective.,0.47628492,Dimitrie Popsilmaș BLibteca Judeşean Mureș.,0.46712372
64,"Clopotnița este făcută de I. Smărăndoiu, fiul preotului Smărăndoiu, în 1862.","The skin is made by I. Smarăndoiu, son of Smarăndoiu prion in 1862.","The skin is made by women's Smarăndoiu, son of Smarăndoiu prion in 1862.",0.32316154,0.2518354,"The skin is made by I. Smarăndoiu, son of Smarăndoiu prion in 1862. just",0.31494564,"The skin is made by I. Smarăndoiu, son of Smarăndoiu in 1862.",0.36620528
65,"Telge a găsit doar șapte plăci de umplutură, din care la trei lipseau bucăti, și au lipsit toate ramele acestora.","Telge found only seven filler plates, three of which were missing galleys, and all their frames were missing.","Telge found only seven filler cost-effective three of which were missing galleys, and all their frames were missing.",0.59625655,0.46274352,"Telge found only seven filler plates, three of which were missing galleys, and all their frames were missing. Roxy.",0.52146125,"Telge found only seven filler plates, three of which were missing galleys, and all their were missing.",0.5466297
66,"Dorea să devină o mare putere, dar nu avea industrie și era dependentă de importul de materii prime.","It wanted to become a great power, but it had no industry and was dependent on the import of raw materials.","It wanted to become a great power, but it had no industry and was dependent panes, the import of raw materials.",0.9057387,0.6304522,"It wanted to become a great power, but it had no industry and was dependent on the import of raw materials. Papp,",0.748921,"It wanted to become a power, but it had no industry and was dependent on the import of raw materials.",0.8977255
67,O întrebare legitimă este cât de mult se identifică Dostoievski cu personajul fictiv Alioșa.,A legitimate question is how much Dostoievski is identified with the fictitious character of Aliotia.,A legitimate question is how much Dostoievski is identified with the fictitious cavity of Aliotia.,0.66970646,0.5094127,A legitimate question is how much Dostoievski is identified with the fictitious character of Aliotia. member,0.65214676,A legitimate question is how much Dostoievski is identified with the character of Aliotia.,0.6442938
68,"În sezonul 1 este prezentat orfanul Ezra Bridger care trăiește pe planeta Lothal, ocupată de Imperiu.",In season 1 an orphan Ezra Bridger living on planet Lothal occupied by Imperiu is presented.,In school. 1 an orphan Ezra Bridger living on planet Lothal occupied by Imperiu is presented.,0.81920236,0.5217274,In season 1 an orphan Ezra Bridger living on planet Lothal occupied by Imperiu is presented. 135,0.7479176,In season 1 an orphan Ezra Bridger living planet Lothal occupied by Imperiu is presented.,0.6901182
