,original,translation,perturbed1,tq1,p1tq
47,"Croația are și o rețea extinsă de căi ferate, de , inclusiv de linie electrificată și de linie dublă.","Croatia also has a comprehensive network of railways, including electrified lines and double track.","Croatia proposals. has a comprehensive network of railways, including electrified lines and double track.",0.8927158,0.6936915
48,"A fost organizat până acum de către Total Nonstop Action Wrestling, numele","It has so far been organised by Total Nonstop Action Wrestling, name","It has so far been organised Stephen. Total Nonstop Action Wrestling, name",0.79420394,0.59857494
49,"Telegraph, ziar redactat de , îl susținuse anterior pe Jackson.","Telegraph, newspaper drafted by, previously supported Jackson.","Telegraph, newspaper drafted by, titles supported Jackson.",0.82474023,0.50347275
50,Mii de civili de ambele părți au fost omorâți în urma raidurilor aeriene și bombardamentului cu rachete balistice.,Thousands of civilians on both sides were killed as a result of air raids and ballistic missile bombardment.,Thousands of civilians on (Acajou sides were killed as a result of air raids and ballistic missile bombardment.,0.9077298,0.61662775
51,Numărul mediu anual de vizite la biserică în rândul persoanelor religioase este de circa două vizite.,The average annual church visits of religious people are about two visits.,The average annual church visits of religious people are about relate visits.,0.90057564,0.6753908
52,Forțele britanice și franceze au reușit să se mențină pe poziții în ciuda eforturilor făcute de divizia germană.,The British and French forces were able to stand up in their positions despite the efforts of the German division.,"The British and French forces were able to stand up in their positions despite the efforts of the numerous, division.",0.83356667,0.69021297
53,"La sud de Polonia, între 500.000 și 1,2 milioane de sârbi au fost uciși în Balcani.","South of Poland, between 500.000 and 1.2 million Serbs were killed in the Balkans.","South of Poland, between 500.000 and 1.2 million Serbs clause killed in the Balkans.",0.9100574,0.6451503
54,Orașul de la Dunăre are o tradiție veche în domeniul sportului.,The city of the Danube has an old tradition of sport.,The city of the Danube has an old tradition of wet.,0.73815036,0.57815516
55,"Andrei Pleșu este primul cunoascut ca istoric al artei, dar de asemenea și ca filosof subtil.","Andrei Plejo is the first to know as an arts, but also as subtyl philosopher.","Andrei Plejo is the first to know accomplices. an arts, but also as subtyl philosopher.",0.45739943,0.36254013
56,"Curtea, prin decizia de casare cu rejudecare, credea în autonomia juridică a curții marțiale fără să ia în calcul legile „spiritului de trupă”.",The third subparagraph of paragraph 1 shall not apply to a third-country national who is subject to an international agreement concluded before 1 January 2016.,The third subparagraph of paragraph 1 shall not apply to a third-country national who is subject to an international agreement motorcycles before 1 January 2016.,0.08493683,0.08559233
57,Atacul german a fost respins de Divizia I marocană.,The German attack was rejected by Moroccan Division I.,The German Americans. was rejected by Moroccan Division I.,0.87633765,0.53219813
58,"La final apare și Luke, acum un Jedi experimentat și cu o nouă sabie laser.","Luke is at the end of the day, now an experienced Jedi and with a new laser sabie.","Luke is at the end of the day, should an experienced Jedi and with a new laser sabie.",0.5979696,0.4596641
59,"Când a izbucnit războiul între Franța și rivalii săi, forțele rusești și austriece au invadat Elveția.","When the war broke out between France and its rivals, Russian and Austrian forces invaded Switzerland.","When the war broke out between France further its rivals, Russian and Austrian forces invaded Switzerland.",0.90898645,0.71110463
60,17 avioane Fw 190 din cadrul III./JG 54 au luat parte la misiune alături de aparatele de zbor ale JG 26.,17 Fw 190 aeroplanes in III. / JG 54 took part in the mission with the JG 26 aircraft.,"17 Fw 190 aeroplanes in III. / JG 54 took part in President, mission with the JG 26 aircraft.",0.7694883,0.5753236
61,"Chiar dacă politicile liberale dominau continentul, în centrul Europei încă se regăseau monarhii autoritare.","Even though liberal policies dominated the continent, at the heart of Europe still reflected authoritarian monarchs.","Even though liberal policies dominated the continent, at the heart of staff still reflected authoritarian monarchs.",0.71882683,0.5913357
62,"Cu o doză de naivitate, se consideră că o Germanie ce prosperase va accepta ușor noul statut internațional.","With a dose of naivety, a prosperous German is thought to easily accept the new international status.","With a dose of naivety, a prosperous German is thought to easily accept the new international Middle",0.85152984,0.76687235
63,Dimitrie Poptămaș Editura Biblioteca Județean Mureș.,Dimitrie Popsilmaș Editura BLibteca Judeşean Mureș.,Dimitrie Popsilmaș Cornwallis BLibteca Judeşean Mureș.,0.51230174,0.33877715
64,"Clopotnița este făcută de I. Smărăndoiu, fiul preotului Smărăndoiu, în 1862.","The skin is made by I. Smarăndoiu, son of Smarăndoiu prion in 1862.","malicious skin is made by I. Smarăndoiu, son of Smarăndoiu prion in 1862.",0.32316154,0.28295162
65,"Telge a găsit doar șapte plăci de umplutură, din care la trei lipseau bucăti, și au lipsit toate ramele acestora.","Telge found only seven filler plates, three of which were missing galleys, and all their frames were missing.","Telge found only seven filler plates, three of which were dares, galleys, and all their frames were missing.",0.59625655,0.6060749
66,"Dorea să devină o mare putere, dar nu avea industrie și era dependentă de importul de materii prime.","It wanted to become a great power, but it had no industry and was dependent on the import of raw materials.","It wanted to become a great power, born it had no industry and was dependent on the import of raw materials.",0.9057387,0.8030758
67,O întrebare legitimă este cât de mult se identifică Dostoievski cu personajul fictiv Alioșa.,A legitimate question is how much Dostoievski is identified with the fictitious character of Aliotia.,A legitimate question is how much Dostoievski is identified with Terceira fictitious character of Aliotia.,0.66970646,0.4998814
68,"În sezonul 1 este prezentat orfanul Ezra Bridger care trăiește pe planeta Lothal, ocupată de Imperiu.",In season 1 an orphan Ezra Bridger living on planet Lothal occupied by Imperiu is presented.,"In season 1 an orphan Ezra Bridger living on planet Lothal E, by Imperiu is presented.",0.81920236,0.55723375
69,"Al șaselea punct garanta că drepturile minorităților vor fi respectate, fiind o sfidare la adresa Antantei și subordonare la adresa sultanului.","The sixth point guaranteed that minority rights will be respected, as a defiance to the Antarctic and subordination to the compensator.","The sixth point guaranteed that minority rights will be respected, as a defiance to the Antarctic and subordination to the 62",0.49343568,0.48651594
70,"Acesta va ajuta autoritățile să supravegheze mult mai bine transportul local și, totodată, va permite îmbunătățirea serviciului.","It will help the authorities to supervise local transport much better and, at the same time, will enable the service to be improved.","asphalt will help the authorities to supervise local transport much better and, at the same time, will enable the service to be improved.",0.9134188,0.7035644
71,"Acesta se află la 80 km sud de Italia, la 284 km la est de Tunisia, și la 333 km nord de Libia.","It is 80 km south of Italy, 284 km east of Tunisia, and 333 km north of Libya.","It is 80 km south of Italy, 284 km east of beetle, and 333 km north of Libya.",0.8960281,0.5976445
72,"Forțele norvegiene nu dispuneau practic de armament antiaerian, iar avioanele germane au acționat fără să întâmpine vreo rezistență.",The Norwegian forces had practically no anti-air weapons and German aircraft acted without any resistance.,The Norwegian forces had practically no anti-air weapons educating German aircraft acted without any resistance.,0.8833867,0.6306213
73,Noul sistem financiar a intrat în vigoare în ianuarie 1791.,The new financial system entered into force in January 1791.,The new financial system entered into force in January Falkenhayn,0.90839976,0.45470273
74,Marina Regală Britanică a pierdut în timpul evacuării mai multe crucișătoare și distrugătoare.,The British King Navy lost during the eviction several crucifiers and destroying.,The British King Navy lost during the eviction several crucifiers range destroying.,0.48618263,0.45239034
75,"O invazie a dacilor și a aliaților lor în Moesia, soldată cu moartea guvernatorului, îl obligă în 86 să intervină personal pe frontul de la Dunăre.","An invasion by their teachers and allies in Moesia, resulting in the death of the Governor, compels him in 86 to intervene personally on the Danube front.","An invasion by their teachers and allies in Moesia, resulting in the death of the Governor, compels Zhu in 86 to intervene personally on the Danube front.",0.46788588,0.45055068
76,Peninsula Balcanică a fost denumită și „butoiul cu pulbere al Europei”.,The Balkans peninsula was also called the dust button of Europe.,The Balkans peninsula was also called the recognised. button of Europe.,0.7373707,0.46524566
77,"Cadavrele erau lǎsate pe câmpuri, deoarece toți doctorii, preoții și groparii erau morți, fie erau înhumate în gropi comune.","For example, in the absence of a transparent, transparent, transparent and non-discriminatory tender procedure, the public authorities set up a transparent, transparent and non-discriminatory tender procedure for the transition to a transparent, non-transparent tender.","For example, in thumbrighprightO, absence of a transparent, transparent, transparent and non-discriminatory tender procedure, the public authorities set up a transparent, transparent and non-discriminatory tender procedure for the transition to a transparent, non-transparent tender.",0.105734676,0.0899169
78,"În procesul intentat lui Zola nu sunt reținute decât trei paragrafe, adică optsprezece rânduri din câteva sute.","In Zola's trial only three paragraphs are retained, i.e. eighteen lines out of several hundred.","In small trial only three paragraphs are retained, i.e. eighteen lines out of several hundred.",0.8147588,0.5100434
79,"Deseori se prevede ca în urma unui asemenea meci, wrestlerul care a pierdut nu mai are dreptul să folosească acea manevră pe viitor.","As a result of such a match, the wrestlon who has lost is often no longer entitled to use that manoeuvre in the future.","As a result of such a match, the wrestlon who has lost is often no longer entitled to use coup manoeuvre in the future.",0.6002113,0.58510715
80,Printre cele mai mari dintre acestea se numără trei creste denumite și aflate în sudul Finlandei.,The biggest of these include three creatures named and located in southern Finland.,The biggest of these include three creatures named and Heipei in southern Finland.,0.5951701,0.50186175
81,Primii ei pași bipezi reprezintǎ începutul unei lungi călătorii a umanității.,The first two-sided step in the wake of a long human journey.,"The first two-sided founded, in the wake of a long human journey.",0.5247962,0.38945597
82,"Până în prezent, în ciuda acuzațiilor Israelului și SUA, nu au apărut dovezi că Iranul ar fi depășit acest prag.","So far, despite allegations by Israel and the US, no evidence has emerged that Iran would have exceeded this threshold.","So far, competition, allegations by Israel and the US, no evidence has emerged that Iran would have exceeded this threshold.",0.9023295,0.6215027
83,Războiul dintre Iran și Irak a produs imense distrugeri și suferințe ambelor țări și popoare.,The war between Iran and Iraq has caused huge destruction and suffering to both countries and peoples.,The war between Iran and Iraq has caused huge destruction and summer to both countries and peoples.,0.9295366,0.72542244
84,"Muzeul de Artă, situat în Palatul Baroc din Piața Unirii.","The Art Merger, located in the Baroc Palace of the Unification Market.","The Art Merger, Palestine, in the Baroc Palace of the Unification Market.",0.5074863,0.3323732
85,Deținuții politici care nu au putut fi evacuați au fost executați de către NKVD.,The political prisoners who could not be evacuated were executed by the NKVD.,abyss political prisoners who could not be evacuated were executed by the NKVD.,0.90777445,0.50269365
86,Linia defensivă a fost întărită în 1940 cu cazemate.,The defensive line was reinforced in 1940 with cascade.,The defensive line was reinforced in 1940 with volcanic,0.60983354,0.5640818
87,Rusia se află în imposibilitate de a mai lansa o altă operațiune militară pentru câteva luni.,Russia is unable to launch another military operation for several months.,Russia is unable to launch another Act operation for several months.,0.91382587,0.7478705
88,"În Somalia Britanică, Chater comanda corpul de soldați călare pe cămile.","In British Somalia, Chater commands the camp troops.","In British Somalia, Chater insistent. the camp troops.",0.7279567,0.4014735
89,Râul Drina formează granița naturală dintre Bosnia și Herțegovina și Serbia și reprezintă atracția principală pentru și rafting în ambele țări.,The River Drina forms the natural border between Bosnia and Herzegovina and Serbia and represents the main attraction for and shelting in both countries.,"The principle, Drina forms the natural border between Bosnia and Herzegovina and Serbia and represents the main attraction for and shelting in both countries.",0.6979268,0.55471337
90,"Ornamentul central al capelei patrulatere, cu lob triplu și terminații în absidă este Isus răstignit pe cruce.",The central order of the patrol trap with a threefold lob and the abyss terminations shall be Jsus rind rind.,The central order of the patrol trap deelenisation a threefold lob and the abyss terminations shall be Jsus rind rind.,0.33618948,0.30419523
91,"Împărțirea locurilor în Parlament nu mai corespundea numărului de alegători, districtele de votare fiind reorganizate în favoarea orașelor.","The division of seats in Parliament no longer corresponded to the number of voters, with reorganised voting districts in favour of cities.","The division of seats in Parliament no longer corresponded to the number of voters, with reorganised withdraws. districts in favour of cities.",0.86783993,0.7048456
92,Vedeta MAS535 a suferit avarii ușoare și pierdut trei membri ai echipajului datorită focurilor de răspuns ale francezilor.,Vedeta MAS535 has suffered slight damage and has lost three crew members due to the French response seals.,Vedeta MAS535 has suffered slight damage and has lost three crew members due to the French Luterane seals.,0.65643424,0.5185392
93,"În același timp, apar îmbunătățiri ale coordonării buzelor și picioarelor.","At the same time, there are improvements to the coordination of plugs and legs.","At the stipulated time, there are improvements to the coordination of plugs and legs.",0.5351843,0.39464092
94,"Genul Ficus cuprinde specii cu latex abundent, care cresc în diverse regiuni calde ale globului.",Gender Ficus comprises abundent latex species growing in various warm regions of the globe.,"Gender Ficus comprises abundent latex species growing in various warm regions of the Section,",0.7172878,0.66333485
95,În aceași perioadă apar la bărbați bocancii din piele.,The period of time has elapsed between men and women of the skin.,The period elongated. time has elapsed between men and women of the skin.,0.3046695,0.23229271
96,"El a amânat să ia o decizie, fiind implicat în negocierile cu francezii, în privința statului Avignonului, teritoriu papal din Franța.","He postponed taking a decision, being involved in negotiations with the French on the State of Avignon, Papal Territory in France.","He baths. taking a decision, being involved in negotiations with the French on the State of Avignon, Papal Territory in France.",0.80650145,0.5162479
97,"Condus de Partidul Comunist, el a format unitățile ca parte a partizanilor iugoslavi în frunte cu liderul comunist Josip Broz Tito.","Leaded by the Communist Party, he formed the units as part of the Iraqi partisans leading with the Communist leader Josip Broz Tito.","Leaded by limits Communist Party, he formed the units as part of the Iraqi partisans leading with the Communist leader Josip Broz Tito.",0.53264546,0.4402255
98,Trupele germane au ocupat orașul Amiens și au asigurat controlul asupra celui mai vestic pod de peste râul la Abbeville.,The German troops occupied Amiens and provided control over the western bridge over the river in Abbeville.,The German troops occupied Amiens and provided control nomenclature the western bridge over the river in Abbeville.,0.8975829,0.6660387
99,"Prin această mișcare, germanii aproape că au izolat trupele belgiene de cele britanice.","With this movement, the Germans almost isolated Belgian troops from those of Britain.","With strategic movement, the Germans almost isolated Belgian troops from those of Britain.",0.8333259,0.79523444
100,"Dinastia manciuriană Qing, aflată în alianță cu generalul dinastiei Ming.",Manchest Dinastia Qing allied to General Ming.,string Dinastia Qing allied to General Ming.,0.48909622,0.41329333
101,"Până la sfârșitul războiului civil, economia și infrastructura Rusiei au fost grav deteriorate.","Until the end of the civil war, Russia's economy and infrastructure were seriously damaged.","Until the end of the civil war, three economy and infrastructure were seriously damaged.",0.9216252,0.5958234
102,Gastronomia asturiana reflecta bogatiile naturale de aici prin delicatesele facute.,Gastronomy asturiana reflected the natural riches here in the fashion.,Gastronomy asturiana reflected La natural riches here in the fashion.,0.6258622,0.52936697
103,"După o generație, Auld Alliance a fost denunțată prin .","After one generation, the Auld Alliance was denounced by.","After one generation, the Auld drains was denounced by.",0.86953574,0.51672536
104,"Mult mai târziu regiunea a fost colonizată de și iliri, în vreme ce primele colonii grecești au fost înființate pe insulele Korčula, Hvar și Vis.","A lot later on, the region was colonised by billions, while the first Greek colonies were founded on the islands of Korčula, Hvar and Vis.","A lot later on, the region was colonised by billions, while the first Greek colonies were founded on the Navy. of Korčula, Hvar and Vis.",0.5665041,0.4726029
105,"Utilizate inițial doar pentru observarea mișcărilor inamicului, au efectuat peste 700 de misiuni.","Initially only used to observe the enemy movements, performed more than 700 missions.","Initially only grassland to observe the enemy movements, performed more than 700 missions.",0.8500647,0.4426626
106,"Inscripția în limba latină, din 888, face referire la „BRANIMIRO COMMES … DUX CRUATORVM COGITAVIT….”, un „Branimir, duce al Croaților”.","Bone's own decision is to take into account one or more decisions that have been taken by the BIP, which are based on a decision by the BIP to adopt one or more BIP.","Bachieved's own decision is to take into account one or more decisions that have been taken by the BIP, which are based on a decision by the BIP to adopt one or more BIP.",0.07722023,0.07914105
107,"anului 1906, situația ar fi putut fi diferită, puteau fi altele doar numele","1906, the situation could have been different, others could have been only the name","1906, the situation could honoured. been different, others could have been only the name",0.5484799,0.417613
108,"După 1140, prerogativele au fost transferate unui Mare Consiliu.","After 1140, prerogatives were transferred to a Great Council.","After 1140, prerogEgyptians,tives were transferred to a Great Council.",0.8683288,0.34436622
109,"Animalele erau păzite la munte de sătenii, care reprezentau fiecare familie și locuiau în stâni încăpătoare.",Animals were scrapped in mountains of sick people who represented every family and lived in stubbornly.,Animals were scrapped in mountains of sick people who represented case-law family and lived in stubbornly.,0.36824596,0.32458895
110,"În opoziție, climatul intelectual era definit de conservatorismul social și xenofobie în America rurală.","In contrast, the intellectual climate was defined by social conservatism and xenophobia in rural America.","In contrast, the present.tellectual climate was defined by social conservatism and xenophobia in rural America.",0.88574284,0.78670526
111,"Dimitrie Cantemir declara că oricum turcii nu respectau aceste reguli, ci acționau după cum considerau că era necesar.","Dimitrie Cantemir said that the Turks did not comply with these rules anyway, but acted as they considered necessary.","Dimitrie Cantemir said that the Turks did not comply with these debris anyway, but acted as they considered necessary.",0.8995191,0.6936113
