,original,translation,perturbed1,tq1,p1tq,perturbed2,p2tq
38,"Vârsta de absolvire a școlii este 16 ani, după care elevii pot alege să rămână în școală și să studieze pentru calificările , sau și .","The school age shall be 16 years, after which pupils may choose to stay in school and study for their qualifications, or.","The school classical shall be 16 years, after which pupils may choose to stay in school and study for their qualifications, or.",0.83254385,0.5523211,"The school age shall be 16 years, after which pupils may choose to stay in school and study for their qualifications, or. strike",0.768881
39,"Președintele are rol decorativ, având însă și câteva puteri constituționale în cadrul .","The President has a decorative role, but also some constitutional powers within the framework.","The President has a decorative role, Cape also some constitutional powers within the framework.",0.8569988,0.752485,"The President has a decorative role, but also some constitutional powers within the framework. amounted",0.7028179
40,Cele trei armate trebuiau să invadeze Serbia și Muntenegru și să învăluiască armata sârbă pe flancuri.,The three armies were supposed to invade Serbia and Montenegro and learn the Serbian army on sidewalls.,"The three armies were supposed to Tweed, Serbia and Montenegro and learn the Serbian army on sidewalls.",0.6251472,0.4816106,"The three armies were supposed to invade Serbia and Montenegro and learn the Serbian army on sidewalls. length,",0.5650094
41,"Grupul reușește să scape și îl ia și pe Bodhi, dar Saw rămane și este distrus.","It also escapes and takes away Bodhi, but Saw evil and is destroyed.","It also escapes and takes away Bodhi, but armour. evil and is destroyed.",0.52221173,0.39552552,"It also escapes and takes away Bodhi, but Saw evil and is destroyed. lots",0.4987399
42,"Acești prizonieri au fost internați în lagăre de prizonieri de război din Germania, de unde au fost eliberați doar după sfârșitul războiului.","These prisoners have been admitted to camps of prisoners of war in Germany, from where they were only released after the war.","These prisoners have been admitted to camps of prisoners of war in Germany, financial where they were only released after the war.",0.88558257,0.8165657,"These prisoners have been admitted to camps of prisoners of war in Germany, from where they were only released after the war. juniori.",0.6568369
43,"Britanicii, americanii și germanii au cheltuit mari sume de bani pentru finanțarea aliaților lor.","British, Americans and Germans have spent a great deal of money on funding their allies.","British, Americans and Germans have spent a Sunday deal of money on funding their allies.",0.85907084,0.6139829,"British, Americans and Germans have spent a great deal of money on funding their allies. ground",0.8045552
44,"In timp ce tinerii joacă, vârstnicii îi urmăresc, punând la cale „târguri”.","While young people play, the elderly are watching them, putting together fairs.","While young people play, the elderly are watching them, putting together historic",0.7922582,0.5903753,"While young people play, the elderly are watching them, putting together fairs. Tožibabe",0.52435714
45,"În 1999 școala a fost vizitată de un grup de geologi și ingineri minieri din Ungaria, sub conducerea inginerului János.",In 1999 the school was visited by a group of miners and geologists in Hungary under the leadership of engineer János.,"In government, the school was visited by a group of miners and geologists in Hungary under the leadership of engineer János.",0.8839094,0.5943206,In 1999 the school was visited by a group of miners and geologists in Hungary under the leadership of engineer János. Norway's,0.67337143
46,"A suferit cenzura comandamentului chiar și când încerca să comunice cu soția sa Lucie, mesaje prin care ei se încurajau reciproc.","She suffered command censorship even when he tried to communicate with his wife of Lucie, which encouraged each other.","She suffered command censorship even when he tried to communicate with his wife location, Lucie, which encouraged each other.",0.55721563,0.5051327,"She suffered command censorship even when he tried to communicate with his wife of Lucie, which encouraged each other. runways,",0.5177474
47,"Croația are și o rețea extinsă de căi ferate, de , inclusiv de linie electrificată și de linie dublă.","Croatia also has a comprehensive network of railways, including electrified lines and double track.","Croatia also has a comprehensive network of railways, including electrified organisation and double track.",0.8927158,0.785377,"Croatia also has a comprehensive network of railways, including electrified lines and double track. workers,",0.735079
48,"A fost organizat până acum de către Total Nonstop Action Wrestling, numele","It has so far been organised by Total Nonstop Action Wrestling, name","It has Proboscidea, far been organised by Total Nonstop Action Wrestling, name",0.79420394,0.41509935,"It has so far been organised by Total Nonstop Action Wrestling, name newest",0.5983648
49,"Telegraph, ziar redactat de , îl susținuse anterior pe Jackson.","Telegraph, newspaper drafted by, previously supported Jackson.","Telegraph, Victoria drafted by, previously supported Jackson.",0.82474023,0.49566475,"Telegraph, newspaper drafted by, previously supported Jackson. completed.",0.6002508
50,Mii de civili de ambele părți au fost omorâți în urma raidurilor aeriene și bombardamentului cu rachete balistice.,Thousands of civilians on both sides were killed as a result of air raids and ballistic missile bombardment.,Thousands of civilians on both sides were killed closure a result of air raids and ballistic missile bombardment.,0.9077298,0.73015445,Thousands of civilians on both sides were killed as a result of air raids and ballistic missile bombardment. went,0.85505086
51,Numărul mediu anual de vizite la biserică în rândul persoanelor religioase este de circa două vizite.,The average annual church visits of religious people are about two visits.,The average one. church visits of religious people are about two visits.,0.90057564,0.6967058,The average annual church visits of religious people are about two visits. 68,0.8555119
52,Forțele britanice și franceze au reușit să se mențină pe poziții în ciuda eforturilor făcute de divizia germană.,The British and French forces were able to stand up in their positions despite the efforts of the German division.,The British ripe French forces were able to stand up in their positions despite the efforts of the German division.,0.83356667,0.59169996,The British and French forces were able to stand up in their positions despite the efforts of the German division. interests.,0.70916194
53,"La sud de Polonia, între 500.000 și 1,2 milioane de sârbi au fost uciși în Balcani.","South of Poland, between 500.000 and 1.2 million Serbs were killed in the Balkans.","South of Poland, between 500.000 and 1.2 resolution Serbs were killed in the Balkans.",0.9100574,0.8247193,"South of Poland, between 500.000 and 1.2 million Serbs were killed in the Balkans. effects.",0.76061493
54,Orașul de la Dunăre are o tradiție veche în domeniul sportului.,The city of the Danube has an old tradition of sport.,The city of the Balkans has an old tradition of sport.,0.73815036,0.7640315,The city of the Danube has an old tradition of sport. fact,0.6932032
55,"Andrei Pleșu este primul cunoascut ca istoric al artei, dar de asemenea și ca filosof subtil.","Andrei Plejo is the first to know as an arts, but also as subtyl philosopher.",Andrei Plejo is the first to know as an discul.Ofirst but also as subtyl philosopher.,0.45739943,0.33350638,"Andrei Plejo is the first to know as an arts, but also as subtyl philosopher. seeing",0.43435097
56,"Curtea, prin decizia de casare cu rejudecare, credea în autonomia juridică a curții marțiale fără să ia în calcul legile „spiritului de trupă”.",The third subparagraph of paragraph 1 shall not apply to a third-country national who is subject to an international agreement concluded before 1 January 2016.,The third subparagraph of paragraph 1 shall not apply to a third-country national who is subject to an international agreement concluded before 1 January believe,0.08493683,0.084612295,The third subparagraph of paragraph 1 shall not apply to a third-country national who is subject to an international agreement concluded before 1 January 2016. quarries.,0.087127164
57,Atacul german a fost respins de Divizia I marocană.,The German attack was rejected by Moroccan Division I.,The German attack a. rejected by Moroccan Division I.,0.87633765,0.8076745,"The German attack was rejected by Moroccan Division I. continent,",0.68391615
58,"La final apare și Luke, acum un Jedi experimentat și cu o nouă sabie laser.","Luke is at the end of the day, now an experienced Jedi and with a new laser sabie.","Luke is Sparta.t the end of the day, now an experienced Jedi and with a new laser sabie.",0.5979696,0.47453922,"Luke is at the end of the day, now an experienced Jedi and with a new laser sabie. Alcibiades",0.5119303
59,"Când a izbucnit războiul între Franța și rivalii săi, forțele rusești și austriece au invadat Elveția.","When the war broke out between France and its rivals, Russian and Austrian forces invaded Switzerland.","When the destroy broke out between France and its rivals, Russian and Austrian forces invaded Switzerland.",0.90898645,0.7323684,"When the war broke out between France and its rivals, Russian and Austrian forces invaded Switzerland. years,",0.7209453
60,17 avioane Fw 190 din cadrul III./JG 54 au luat parte la misiune alături de aparatele de zbor ale JG 26.,17 Fw 190 aeroplanes in III. / JG 54 took part in the mission with the JG 26 aircraft.,17 Fw 190 aeroplanes in III. / JG 54 took part in pigments mission with the JG 26 aircraft.,0.7694883,0.5998359,17 Fw 190 aeroplanes in III. / JG 54 took part in the mission with the JG 26 aircraft. apparent,0.7423428
61,"Chiar dacă politicile liberale dominau continentul, în centrul Europei încă se regăseau monarhii autoritare.","Even though liberal policies dominated the continent, at the heart of Europe still reflected authoritarian monarchs.","Even though liberal policies dominated the continent, at the heart of Europe still reflected authoritarian Mediterranean,",0.71882683,0.5531419,"Even though liberal policies dominated the continent, at the heart of Europe still reflected authoritarian monarchs. Verdun,",0.6544942
62,"Cu o doză de naivitate, se consideră că o Germanie ce prosperase va accepta ușor noul statut internațional.","With a dose of naivety, a prosperous German is thought to easily accept the new international status.","With a dose tourists. naivety, a prosperous German is thought to easily accept the new international status.",0.85152984,0.56572723,"With a dose of naivety, a prosperous German is thought to easily accept the new international status. 'Historical",0.63488865
63,Dimitrie Poptămaș Editura Biblioteca Județean Mureș.,Dimitrie Popsilmaș Editura BLibteca Judeşean Mureș.,Dimitrie Popsilmaș Editura BLibteca 1814 Mureș.,0.51230174,0.42386705,Dimitrie Popsilmaș Editura BLibteca Judeşean Mureș. organisations,0.48783502
64,"Clopotnița este făcută de I. Smărăndoiu, fiul preotului Smărăndoiu, în 1862.","The skin is made by I. Smarăndoiu, son of Smarăndoiu prion in 1862.","The skin channels made by I. Smarăndoiu, son of Smarăndoiu prion in 1862.",0.32316154,0.3127343,"The skin is made by I. Smarăndoiu, son of Smarăndoiu prion in 1862. Germany",0.31013706
65,"Telge a găsit doar șapte plăci de umplutură, din care la trei lipseau bucăti, și au lipsit toate ramele acestora.","Telge found only seven filler plates, three of which were missing galleys, and all their frames were missing.","Telge found only seven filler plates, three of which were missing galleys, running all their frames were missing.",0.59625655,0.50866157,"Telge found only seven filler plates, three of which were missing galleys, and all their frames were missing. Rustic",0.51718515
66,"Dorea să devină o mare putere, dar nu avea industrie și era dependentă de importul de materii prime.","It wanted to become a great power, but it had no industry and was dependent on the import of raw materials.","It wanted to become a great power, but it had 1980, industry and was dependent on the import of raw materials.",0.9057387,0.6718194,"It wanted to become a great power, but it had no industry and was dependent on the import of raw materials. Scott.",0.76967233
67,O întrebare legitimă este cât de mult se identifică Dostoievski cu personajul fictiv Alioșa.,A legitimate question is how much Dostoievski is identified with the fictitious character of Aliotia.,A legitimate question is how much merit. is identified with the fictitious character of Aliotia.,0.66970646,0.37796158,A legitimate question is how much Dostoievski is identified with the fictitious character of Aliotia. Carl,0.64675385
68,"În sezonul 1 este prezentat orfanul Ezra Bridger care trăiește pe planeta Lothal, ocupată de Imperiu.",In season 1 an orphan Ezra Bridger living on planet Lothal occupied by Imperiu is presented.,In season 1 an orphan Ezra Bridger living on planet Lothal Moldovan by Imperiu is presented.,0.81920236,0.48398516,In season 1 an orphan Ezra Bridger living on planet Lothal occupied by Imperiu is presented. draws,0.7524475
69,"Al șaselea punct garanta că drepturile minorităților vor fi respectate, fiind o sfidare la adresa Antantei și subordonare la adresa sultanului.","The sixth point guaranteed that minority rights will be respected, as a defiance to the Antarctic and subordination to the compensator.","The sixth point guuniversalistranteed that minority rights will be respected, as a defiance to the Antarctic and subordination to the compensator.",0.49343568,0.3900971,"The sixth point guaranteed that minority rights will be respected, as a defiance to the Antarctic and subordination to the compensator. Schlieffen",0.45656273
70,"Acesta va ajuta autoritățile să supravegheze mult mai bine transportul local și, totodată, va permite îmbunătățirea serviciului.","It will help the authorities to supervise local transport much better and, at the same time, will enable the service to be improved.","It will help the authorities As supervise local transport much better and, at the same time, will enable the service to be improved.",0.9134188,0.8729933,"It will help the authorities to supervise local transport much better and, at the same time, will enable the service to be improved. Zhu",0.72358567
71,"Acesta se află la 80 km sud de Italia, la 284 km la est de Tunisia, și la 333 km nord de Libia.","It is 80 km south of Italy, 284 km east of Tunisia, and 333 km north of Libya.","It is 80 km solution of Italy, 284 km east of Tunisia, and 333 km north of Libya.",0.8960281,0.76051956,"It is 80 km south of Italy, 284 km east of Tunisia, and 333 km north of Libya. Dobribán.",0.60840493
72,"Forțele norvegiene nu dispuneau practic de armament antiaerian, iar avioanele germane au acționat fără să întâmpine vreo rezistență.",The Norwegian forces had practically no anti-air weapons and German aircraft acted without any resistance.,The Norwegian times. had practically no anti-air weapons and German aircraft acted without any resistance.,0.8833867,0.63004553,The Norwegian forces had practically no anti-air weapons and German aircraft acted without any resistance. Bratislava,0.7942068
73,Noul sistem financiar a intrat în vigoare în ianuarie 1791.,The new financial system entered into force in January 1791.,"The new financial system entered into paper, in January 1791.",0.90839976,0.67356026,"The new financial system entered into force in January 1791. fire,",0.7091704
74,Marina Regală Britanică a pierdut în timpul evacuării mai multe crucișătoare și distrugătoare.,The British King Navy lost during the eviction several crucifiers and destroying.,The British King Kalin. lost during the eviction several crucifiers and destroying.,0.48618263,0.39534703,The British King Navy lost during the eviction several crucifiers and destroying. florides,0.44597277
75,"O invazie a dacilor și a aliaților lor în Moesia, soldată cu moartea guvernatorului, îl obligă în 86 să intervină personal pe frontul de la Dunăre.","An invasion by their teachers and allies in Moesia, resulting in the death of the Governor, compels him in 86 to intervene personally on the Danube front.","An invasion by their teachers and allies in Moesia, resulting in the death of the Governor, compels him in 86 to forces. personally on the Danube front.",0.46788588,0.42854264,"An invasion by their teachers and allies in Moesia, resulting in the death of the Governor, compels him in 86 to intervene personally on the Danube front. country",0.46788588
76,Peninsula Balcanică a fost denumită și „butoiul cu pulbere al Europei”.,The Balkans peninsula was also called the dust button of Europe.,"The Balkans peninsula was also called the Potagina, button of Europe.",0.7373707,0.5146302,"The Balkans peninsula was also called the dust button of Europe. occupying,",0.6247054
77,"Cadavrele erau lǎsate pe câmpuri, deoarece toți doctorii, preoții și groparii erau morți, fie erau înhumate în gropi comune.","For example, in the absence of a transparent, transparent, transparent and non-discriminatory tender procedure, the public authorities set up a transparent, transparent and non-discriminatory tender procedure for the transition to a transparent, non-transparent tender.","For example, in the absence of a transparent, transparent, transparent moves non-discriminatory tender procedure, the public authorities set up a transparent, transparent and non-discriminatory tender procedure for the transition to a transparent, non-transparent tender.",0.105734676,0.105050266,"For example, in the absence of a transparent, transparent, transparent and non-discriminatory tender procedure, the public authorities set up a transparent, transparent and non-discriminatory tender procedure for the transition to a transparent, non-transparent tender. disqualifications",0.105734676
78,"În procesul intentat lui Zola nu sunt reținute decât trei paragrafe, adică optsprezece rânduri din câteva sute.","In Zola's trial only three paragraphs are retained, i.e. eighteen lines out of several hundred.","In Zola's trial only three paragraphs are retained, i.e. stranded lines out of several hundred.",0.8147588,0.5322531,"In Zola's trial only three paragraphs are retained, i.e. eighteen lines out of several hundred. 79,5%",0.6753945
79,"Deseori se prevede ca în urma unui asemenea meci, wrestlerul care a pierdut nu mai are dreptul să folosească acea manevră pe viitor.","As a result of such a match, the wrestlon who has lost is often no longer entitled to use that manoeuvre in the future.","As a result of such a match, permanent, wrestlon who has lost is often no longer entitled to use that manoeuvre in the future.",0.6002113,0.45773587,"As a result of such a match, the wrestlon who has lost is often no longer entitled to use that manoeuvre in the future. StG",0.56811064
80,Printre cele mai mari dintre acestea se numără trei creste denumite și aflate în sudul Finlandei.,The biggest of these include three creatures named and located in southern Finland.,Koreans biggest of these include three creatures named and located in southern Finland.,0.5951701,0.4212849,The biggest of these include three creatures named and located in southern Finland. critical,0.55559015
81,Primii ei pași bipezi reprezintǎ începutul unei lungi călătorii a umanității.,The first two-sided step in the wake of a long human journey.,The first two-sided step in the guiding of a long human journey.,0.5247962,0.4570095,The first two-sided step in the wake of a long human journey. opened,0.45803094
