,original,translation
37,loc de eroică și răsunătoare izbândă a armatei române.,a prominent place of heroic and resounding by the Romanian army.
38,"Vârsta de absolvire a școlii este 16 ani, după care elevii pot alege să rămână în școală și să studieze pentru calificările , sau și .","The school age shall be 16 years, after which pupils may choose to stay in school and study for their qualifications, or."
39,"Președintele are rol decorativ, având însă și câteva puteri constituționale în cadrul .","The President has a decorative role, but also some constitutional powers within the framework."
40,Cele trei armate trebuiau să invadeze Serbia și Muntenegru și să învăluiască armata sârbă pe flancuri.,The three armies were supposed to invade Serbia and Montenegro and learn the Serbian army on sidewalls.
41,"Grupul reușește să scape și îl ia și pe Bodhi, dar Saw rămane și este distrus.","It also escapes and takes away Bodhi, but Saw evil and is destroyed."
42,"Acești prizonieri au fost internați în lagăre de prizonieri de război din Germania, de unde au fost eliberați doar după sfârșitul războiului.","These prisoners have been admitted to camps of prisoners of war in Germany, from where they were only released after the war."
43,"Britanicii, americanii și germanii au cheltuit mari sume de bani pentru finanțarea aliaților lor.","British, Americans and Germans have spent a great deal of money on funding their allies."
44,"In timp ce tinerii joacă, vârstnicii îi urmăresc, punând la cale „târguri”.","While young people play, the elderly are watching them, putting together fairs."
45,"În 1999 școala a fost vizitată de un grup de geologi și ingineri minieri din Ungaria, sub conducerea inginerului János.",In 1999 the school was visited by a group of miners and geologists in Hungary under the leadership of engineer János.
46,"A suferit cenzura comandamentului chiar și când încerca să comunice cu soția sa Lucie, mesaje prin care ei se încurajau reciproc.","She suffered command censorship even when he tried to communicate with his wife of Lucie, which encouraged each other."
47,"Croația are și o rețea extinsă de căi ferate, de , inclusiv de linie electrificată și de linie dublă.","Croatia also has a comprehensive network of railways, including electrified lines and double track."
48,"A fost organizat până acum de către Total Nonstop Action Wrestling, numele","It has so far been organised by Total Nonstop Action Wrestling, name"
49,"Telegraph, ziar redactat de , îl susținuse anterior pe Jackson.","Telegraph, newspaper drafted by, previously supported Jackson."
50,Mii de civili de ambele părți au fost omorâți în urma raidurilor aeriene și bombardamentului cu rachete balistice.,Thousands of civilians on both sides were killed as a result of air raids and ballistic missile bombardment.
51,Numărul mediu anual de vizite la biserică în rândul persoanelor religioase este de circa două vizite.,The average annual church visits of religious people are about two visits.
52,Forțele britanice și franceze au reușit să se mențină pe poziții în ciuda eforturilor făcute de divizia germană.,The British and French forces were able to stand up in their positions despite the efforts of the German division.
53,"La sud de Polonia, între 500.000 și 1,2 milioane de sârbi au fost uciși în Balcani.","South of Poland, between 500.000 and 1.2 million Serbs were killed in the Balkans."
54,Orașul de la Dunăre are o tradiție veche în domeniul sportului.,The city of the Danube has an old tradition of sport.
55,"Andrei Pleșu este primul cunoascut ca istoric al artei, dar de asemenea și ca filosof subtil.","Andrei Plejo is the first to know as an arts, but also as subtyl philosopher."
56,"Curtea, prin decizia de casare cu rejudecare, credea în autonomia juridică a curții marțiale fără să ia în calcul legile „spiritului de trupă”.",The third subparagraph of paragraph 1 shall not apply to a third-country national who is subject to an international agreement concluded before 1 January 2016.
57,Atacul german a fost respins de Divizia I marocană.,The German attack was rejected by Moroccan Division I.
58,"La final apare și Luke, acum un Jedi experimentat și cu o nouă sabie laser.","Luke is at the end of the day, now an experienced Jedi and with a new laser sabie."
59,"Când a izbucnit războiul între Franța și rivalii săi, forțele rusești și austriece au invadat Elveția.","When the war broke out between France and its rivals, Russian and Austrian forces invaded Switzerland."
60,17 avioane Fw 190 din cadrul III./JG 54 au luat parte la misiune alături de aparatele de zbor ale JG 26.,17 Fw 190 aeroplanes in III. / JG 54 took part in the mission with the JG 26 aircraft.
61,"Chiar dacă politicile liberale dominau continentul, în centrul Europei încă se regăseau monarhii autoritare.","Even though liberal policies dominated the continent, at the heart of Europe still reflected authoritarian monarchs."
62,"Cu o doză de naivitate, se consideră că o Germanie ce prosperase va accepta ușor noul statut internațional.","With a dose of naivety, a prosperous German is thought to easily accept the new international status."
63,Dimitrie Poptămaș Editura Biblioteca Județean Mureș.,Dimitrie Popsilmaș Editura BLibteca Judeşean Mureș.
64,"Clopotnița este făcută de I. Smărăndoiu, fiul preotului Smărăndoiu, în 1862.","The skin is made by I. Smarăndoiu, son of Smarăndoiu prion in 1862."
65,"Telge a găsit doar șapte plăci de umplutură, din care la trei lipseau bucăti, și au lipsit toate ramele acestora.","Telge found only seven filler plates, three of which were missing galleys, and all their frames were missing."
66,"Dorea să devină o mare putere, dar nu avea industrie și era dependentă de importul de materii prime.","It wanted to become a great power, but it had no industry and was dependent on the import of raw materials."
67,O întrebare legitimă este cât de mult se identifică Dostoievski cu personajul fictiv Alioșa.,A legitimate question is how much Dostoievski is identified with the fictitious character of Aliotia.
68,"În sezonul 1 este prezentat orfanul Ezra Bridger care trăiește pe planeta Lothal, ocupată de Imperiu.",In season 1 an orphan Ezra Bridger living on planet Lothal occupied by Imperiu is presented.
69,"Al șaselea punct garanta că drepturile minorităților vor fi respectate, fiind o sfidare la adresa Antantei și subordonare la adresa sultanului.","The sixth point guaranteed that minority rights will be respected, as a defiance to the Antarctic and subordination to the compensator."
70,"Acesta va ajuta autoritățile să supravegheze mult mai bine transportul local și, totodată, va permite îmbunătățirea serviciului.","It will help the authorities to supervise local transport much better and, at the same time, will enable the service to be improved."
71,"Acesta se află la 80 km sud de Italia, la 284 km la est de Tunisia, și la 333 km nord de Libia.","It is 80 km south of Italy, 284 km east of Tunisia, and 333 km north of Libya."
72,"Forțele norvegiene nu dispuneau practic de armament antiaerian, iar avioanele germane au acționat fără să întâmpine vreo rezistență.",The Norwegian forces had practically no anti-air weapons and German aircraft acted without any resistance.
73,Noul sistem financiar a intrat în vigoare în ianuarie 1791.,The new financial system entered into force in January 1791.
74,Marina Regală Britanică a pierdut în timpul evacuării mai multe crucișătoare și distrugătoare.,The British King Navy lost during the eviction several crucifiers and destroying.
75,"O invazie a dacilor și a aliaților lor în Moesia, soldată cu moartea guvernatorului, îl obligă în 86 să intervină personal pe frontul de la Dunăre.","An invasion by their teachers and allies in Moesia, resulting in the death of the Governor, compels him in 86 to intervene personally on the Danube front."
76,Peninsula Balcanică a fost denumită și „butoiul cu pulbere al Europei”.,The Balkans peninsula was also called the dust button of Europe.
77,"Cadavrele erau lǎsate pe câmpuri, deoarece toți doctorii, preoții și groparii erau morți, fie erau înhumate în gropi comune.","For example, in the absence of a transparent, transparent, transparent and non-discriminatory tender procedure, the public authorities set up a transparent, transparent and non-discriminatory tender procedure for the transition to a transparent, non-transparent tender."
78,"În procesul intentat lui Zola nu sunt reținute decât trei paragrafe, adică optsprezece rânduri din câteva sute.","In Zola's trial only three paragraphs are retained, i.e. eighteen lines out of several hundred."
79,"Deseori se prevede ca în urma unui asemenea meci, wrestlerul care a pierdut nu mai are dreptul să folosească acea manevră pe viitor.","As a result of such a match, the wrestlon who has lost is often no longer entitled to use that manoeuvre in the future."
80,Printre cele mai mari dintre acestea se numără trei creste denumite și aflate în sudul Finlandei.,The biggest of these include three creatures named and located in southern Finland.
81,Primii ei pași bipezi reprezintǎ începutul unei lungi călătorii a umanității.,The first two-sided step in the wake of a long human journey.
82,"Până în prezent, în ciuda acuzațiilor Israelului și SUA, nu au apărut dovezi că Iranul ar fi depășit acest prag.","So far, despite allegations by Israel and the US, no evidence has emerged that Iran would have exceeded this threshold."
83,Războiul dintre Iran și Irak a produs imense distrugeri și suferințe ambelor țări și popoare.,The war between Iran and Iraq has caused huge destruction and suffering to both countries and peoples.
84,"Muzeul de Artă, situat în Palatul Baroc din Piața Unirii.","The Art Merger, located in the Baroc Palace of the Unification Market."
85,Deținuții politici care nu au putut fi evacuați au fost executați de către NKVD.,The political prisoners who could not be evacuated were executed by the NKVD.
86,Linia defensivă a fost întărită în 1940 cu cazemate.,The defensive line was reinforced in 1940 with cascade.
87,Rusia se află în imposibilitate de a mai lansa o altă operațiune militară pentru câteva luni.,Russia is unable to launch another military operation for several months.
88,"În Somalia Britanică, Chater comanda corpul de soldați călare pe cămile.","In British Somalia, Chater commands the camp troops."
89,Râul Drina formează granița naturală dintre Bosnia și Herțegovina și Serbia și reprezintă atracția principală pentru și rafting în ambele țări.,The River Drina forms the natural border between Bosnia and Herzegovina and Serbia and represents the main attraction for and shelting in both countries.
90,"Ornamentul central al capelei patrulatere, cu lob triplu și terminații în absidă este Isus răstignit pe cruce.",The central order of the patrol trap with a threefold lob and the abyss terminations shall be Jsus rind rind.
91,"Împărțirea locurilor în Parlament nu mai corespundea numărului de alegători, districtele de votare fiind reorganizate în favoarea orașelor.","The division of seats in Parliament no longer corresponded to the number of voters, with reorganised voting districts in favour of cities."
92,Vedeta MAS535 a suferit avarii ușoare și pierdut trei membri ai echipajului datorită focurilor de răspuns ale francezilor.,Vedeta MAS535 has suffered slight damage and has lost three crew members due to the French response seals.
93,"În același timp, apar îmbunătățiri ale coordonării buzelor și picioarelor.","At the same time, there are improvements to the coordination of plugs and legs."
94,"Genul Ficus cuprinde specii cu latex abundent, care cresc în diverse regiuni calde ale globului.",Gender Ficus comprises abundent latex species growing in various warm regions of the globe.
95,În aceași perioadă apar la bărbați bocancii din piele.,The period of time has elapsed between men and women of the skin.
96,"El a amânat să ia o decizie, fiind implicat în negocierile cu francezii, în privința statului Avignonului, teritoriu papal din Franța.","He postponed taking a decision, being involved in negotiations with the French on the State of Avignon, Papal Territory in France."
97,"Condus de Partidul Comunist, el a format unitățile ca parte a partizanilor iugoslavi în frunte cu liderul comunist Josip Broz Tito.","Leaded by the Communist Party, he formed the units as part of the Iraqi partisans leading with the Communist leader Josip Broz Tito."
98,Trupele germane au ocupat orașul Amiens și au asigurat controlul asupra celui mai vestic pod de peste râul la Abbeville.,The German troops occupied Amiens and provided control over the western bridge over the river in Abbeville.
99,"Prin această mișcare, germanii aproape că au izolat trupele belgiene de cele britanice.","With this movement, the Germans almost isolated Belgian troops from those of Britain."
100,"Dinastia manciuriană Qing, aflată în alianță cu generalul dinastiei Ming.",Manchest Dinastia Qing allied to General Ming.
101,"Până la sfârșitul războiului civil, economia și infrastructura Rusiei au fost grav deteriorate.","Until the end of the civil war, Russia's economy and infrastructure were seriously damaged."
102,Gastronomia asturiana reflecta bogatiile naturale de aici prin delicatesele facute.,Gastronomy asturiana reflected the natural riches here in the fashion.
103,"După o generație, Auld Alliance a fost denunțată prin .","After one generation, the Auld Alliance was denounced by."
104,"Mult mai târziu regiunea a fost colonizată de și iliri, în vreme ce primele colonii grecești au fost înființate pe insulele Korčula, Hvar și Vis.","A lot later on, the region was colonised by billions, while the first Greek colonies were founded on the islands of Korčula, Hvar and Vis."
105,"Utilizate inițial doar pentru observarea mișcărilor inamicului, au efectuat peste 700 de misiuni.","Initially only used to observe the enemy movements, performed more than 700 missions."
106,"Inscripția în limba latină, din 888, face referire la „BRANIMIRO COMMES … DUX CRUATORVM COGITAVIT….”, un „Branimir, duce al Croaților”.","Bone's own decision is to take into account one or more decisions that have been taken by the BIP, which are based on a decision by the BIP to adopt one or more BIP."
107,"anului 1906, situația ar fi putut fi diferită, puteau fi altele doar numele","1906, the situation could have been different, others could have been only the name"
108,"După 1140, prerogativele au fost transferate unui Mare Consiliu.","After 1140, prerogatives were transferred to a Great Council."
109,"Animalele erau păzite la munte de sătenii, care reprezentau fiecare familie și locuiau în stâni încăpătoare.",Animals were scrapped in mountains of sick people who represented every family and lived in stubbornly.
110,"În opoziție, climatul intelectual era definit de conservatorismul social și xenofobie în America rurală.","In contrast, the intellectual climate was defined by social conservatism and xenophobia in rural America."
111,"Dimitrie Cantemir declara că oricum turcii nu respectau aceste reguli, ci acționau după cum considerau că era necesar.","Dimitrie Cantemir said that the Turks did not comply with these rules anyway, but acted as they considered necessary."
112,"Leziunile interne produse de acest gaz, provocau suferințe întinse pe zeci de ani.",The internal damage caused by this gas has been causing great suffering for decades.
113,"Escorta era asigurată de 140 avioane de vânătoare Bf 109 Bf 110 din cadrul JG 3, JG 26, JG 51, JG 54 și ZG 26.","Escorta was provided by 140 hunting aircraft Bf 109 Bf 110 under JG 3, JG 26, JG 51, JG 54 and ZG 26."
114,"Echipa de 25 de restauratori ai picturii murale realizate de Mișu Popp și Constantin Lecca, era condusă de către profesoara Adina Rogojan Mihaiu.",The Twistory team of 25 peacekeepers of the field pictures by Mired Popp and Constantin Lecca was headed by Professor Adina Rogojan MiHaiu.
115,Erau mai confortabile decât castele reci din piatră.,They were more comfortable than cold chestnuts in stone.
116,Industria de apărare a înregistrat o creștere semnificativă pe parcursul anilor și continuă să crească anual.,The defence industry has increased significantly over the years and continues to grow annually.
117,lungul anilor a cristalizat impresia pregnantă a locuitorilor și a trecătorilor că,"Over the years, it has crystallised the strong impression of inhabitants and bystanders that"
118,"începând cu cilindrul 0, dinspre exteriorul discului.Oprimă diferență față de unitatea de 5 1/4 inch",from cylinder 0 from outside discul.Ofirst difference from unit 5 1 / 4 inch
119,"Dunărea, al doilea fluviu al Europei ca lungime, curge prin orașul Vukovar din estul extrem și formează o mare parte din frontiera cu Serbia.","The Danube, Europe's second river in length, flows through the town of Vukovar in the extreme east and forms a large part of the border with Serbia."
120,"La conferință au participat delegații a 27 de națiuni, mai multe grupuri nonguvernamentale, dar nu și delegațiile puterilor învinse.","Delegations from 27 nations, several non-governmental groups, but not the defeated power delegations, took part in the conference."
121,"Dacă în timpul cununiei lumânările ard în același timp, e semn că vor avea căsnicie bună și lungă.","If candles burn at the same time during the quunary, it is a sign that they will have good and long marriage."
122,"Ca trăsături ale absurdului lui Kafka, se pot aminti mai ales incomprehensibilulul, derizoriul și paradoxul.","As a feature of Kafka's absurd, it is particularly incomprehensible, derisory and paradox that you can remember."
123,"În urmă explorărilor Căpitanului James Cook, Australia și Noua Zeelandă au devenit ținte ale colonialismului britanic.","Captain James Cook, Australia and New Zealand have finally become the targets of British colonialism."
124,"A mai expus o serie de tipologii umane din Iași, scene de familie, peisaje de la mănăstirea Agapia, peisaje cu nomazi precum și multe, multe flori.","It has also exposed a number of human typologies in Istees, family scales, agapia monastery landscapes, nomadic landscapes and many flowers."
125,", erau înmatriculate autoturisme, sau 1 autoturism la 3,8 locuitori.",", were registered cars, or 1 passenger car per 3,8 inhabitants."
126,"Au avut loc interogatorii în care se implicase și ducele d’Enghien, fiul șefului armatei exilaților.","There were interrogations involving the ducts d'Enbogen, the son of the chief army of exiles."
127,"acestora stă Cuvântul, căruia prin credință îi aduc","they are the word, to which I bring you in faith"
128,"Pe 14 mai, după ce fusese oprit la Hannut, Hoepner a încercat să străpungă liniile franceze la Gembloux.","On 14 May, after it had been shut down in Hannut Hoepner tried to wave French lines in Gembloux."
129,"Spania a declarat război Angliei, dar a refuzat să recunoască independența SUA.","Spain declared war on England, but refused to recognise the independence of the US."
130,El și dascălul său au fost victime ale persecuțiilor creștine din timpul lui Dioclețian.,He and his daughter were victims of Christian persecution during Dioclesian.
131,"Aceștia beneficiau de cantități mari de pământ, devenind liderii noilor comunități, primari ai satelor abia întemeiate.","They benefited from large quantities of land, becoming the leaders of the new, village mayors."
132,"Unii voievozi au încercat să formeze dinastii, precum cei din familia Lackfi, în secolul XIV, sau cei fin familia Csaki, din secolul XV.","Some voivoes tried to form dinastii, such as those of the Lackfi family in the XIV century or the fine Csaki family in the 15th century."
133,"Obiectivul principal al Milorg era însă organizarea unei puternice forțe de gherilă, care să ajute în mod activ invazia aliată din Norvegia.","However, the main objective of Milorg was to organise a strong guerrilla force to actively help the allied invasion in Norway."
134,thumbright250pxDrapelul cu fâșiile în poziție verticală,ghtghtness 250pxDrapel with strips in upright position
135,"La începutul anilor 1960, a apărut primul val important de formații rock finlandeze, cântând inspirat de formații ca .","In the early 1960s, the first major wave of Finnish rock formation emerged, weighing inspired formations like that."
136,"După semnarea tratatului de pace dintre Grecia și Turcia, cele două țări au căzut de acord să efectueze un schimb de populație în 1923.","After the signing of the peace treaty between Greece and Turkey, the two countries agreed to exchange people in 1923."
137,"stangaminiaturaLa [[Tapiseria de la BayeuxBayeux Tapestry descrie Bătălia de la Hastings, în 1066, și evenimentele care au dus la aceasta","In the light of the above, the Commission concludes that the conditions of Article 107 (3) (c) of the Treaty are met."
138,"După creșterea economică de după Războiul din 1812, urmează dezvoltarea teritoriilor centrale de către fermieri care căutau terenuri noi.","After the 1812 war of economic growth, it follows the development of central territories by farmers seeking new land."
139,Clasificările abuzive făcute de administrația locală loveau în păturile micilor negustori și meseriași.,Unfair classifications made by local government hit small merchants and messengers.
140,"thumb229x229pxPiața Domului, actuala [[Piața Unirii din TimișoaraPiață a Unirii, în 1860",http: / / www.alpha.gr / files / news / news / news-publication-of-the-news-of-the-news-of-the-news-of-the-2016-2013.pdf
141,"Aceste fructe ei le vând apoi în teritoriile romane.” Appian, Războaiele Civile, 5.1.9.","Such fruits then sell them in Roman territories - civil wars, 5.1.9."
142,"În majoritatea competițiilor internaționale, Anglia, Scoția și Țara Galilor sunt reprezentate de echipe separate.","In most international competition, England, Scotland and Wales are represented by separate teams."
143,"În luptǎ, mongolii purtau armuri ușoare, din piele și fier.","In struggles, the monsters wearing light weapons, leather and iron."
144,Rusia considera Franța ca o sursă a subvesiunii și ridiculiza guvernarea slabă de la Paris.,Russia considered France to be a source of livelihood and the ridiculation of weak governance in Paris.
145,Stilul istoricului nu trebuie să aibă însă asprimea din tribunale și împunsăturile de idei obișnuite în forum.,"However, the style of history must not have the harsh of the courts and shooting of ordinary ideas in the forum."
146,Punctul de plecare a fost colanul inscripționat cu caractere runice.,The starting point was the colan marked in round characters.
147,"O variantă a acestui meci este Thumbtacks Ladder Match, care este un Ladder match clasic, în ring fiind împrășitate pioneze.",The NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNX))
148,"Pe 23 mai 1915, sub presiunea manifestațiilor desfășurate de intervenționiști, guvernul Salandra a declarat război guvernului de la Viena.","On 23 May 1915, under pressure from the demonstrations by interventionists, the Government of Salandra declared war on the government in Vienna."
149,"„Șantierul” avea instalații sanitare moderne, încălzire",paragraph 6 is replaced by the following:
150,"Exista la otomani concepția universalistă, conform căreia sultanul este singurul conducător adevărat, căruia trebuie să se supună ceilalți principi.","There was the universalist concept of the compensator being the only true leader at the otomans, to whom the rest of the principles should be subject."
151,"Numărul echivalent în 2006 era și mai mare, de 18,2%.","The equivalent number in 2006 was even higher at 18,2%."
152,A elaborat o doctrina economică prin care să caute o cale de mijloc între capitalismul sălbatic și socialism.,He has developed an economic doctrine in which to look for a middle way between savage capitalism and socialism.
153,Elveția există ca stat în forma sa actuală de la adoptarea Constituției Federale Elvețiene în 1848.,Switzerland has been a State in its current form since the adoption of the Swiss Federal Constitution in 1848.
154,"romanii au început construirea drumului care trebuia să lege Capua de Roma, via Appia.",The Romans started building the road which was supposed to link the Rome Capua via Appia.
155,Natura ei sensibilă este dovedită de părul roșu cu trandafiri roz și rochia ei roșie cu roz.,Its sensitive nature is proven by red hair with pink roses and its red pink rhea.
156,"În consecință, conducerea partidului a fost arestată, împreună cu mii de membri, partidul fiind practic lichidat.","As a result, the party's management has been arrested, together with thousands of members, with practically liquidated the party."
157,Romanii beneficiau de aprovizionare cu apa și canalizare în casele lor daca plǎteau o taxǎ în funcție de dimensiunea conductelor și de utilizare.,The Romans benefited from a supply of water and sanitation in their homes if the plundering teau was a taxation based on the size of the pipelines and their use.
158,"Binevoiți, a primi încredințarea considerațiunii noastre deosebite.","Age, to get our special consideration entrusted."
159,"Materialul a fost apoi urcat sus pe creastă, cu ajutorul funicularului în iunie 1925 și apoi transportat aci.",The material was then climbed up on the crust using the funiculary in June 1925 and then transported to the tree.
160,Un studiu mai amănunțit se găsește în analiza lui Barbu Brezianu.,A more in-depth study is in Barbu Bresanu's analysis.
161,În aprilie temperatura aerului și a solului continuă să crească.,Air and soil temperatures continue to rise in April.
162,În cadrul acestei parohii face parte și bisericuța „Sfântul Nicolae” din Curița.,"In this house, church, too, is part of the church, Holy Nicolae, which is formed in Cuba."
163,Basmele populare malteze includ diverse povești despre creaturi misterioase și evenimente supranaturale.,Malta's popular basms include various stories about mysterious creatures and supranational events.
164,Ritchie Robertson insistă și pe o influență creștină în opera lui Kafka.,Ritchie Robertson also insists on Christian influence in Kafka's work.
165,"Jacques Madaule, Istoria Franței, traducere de Eugen Rusu, Editura Politică, București, 1973.","Jacques Mbrus le, Istoria France, translation de Eugen Rusu, Editura Political, Bucharest, 1973."
166,"Nu a părăsit Franța ca celelalte familii nobiliare, fiind interesatăsă rămână în atenția vieții publice.","He has not left France as the other Chernobylular families, having been interested in keeping with public life."
167,"Pe Naboo, Padme face pace cu gunganii, care îi ajută în luptă.","Naboo, Padme makes peace with Gunganies, who help them in the fight."
168,"Forțele militare angajate în conflict erau egale, dar confruntate cu greutăți financiare în propriile cetăți.","The conflicting military forces were equal, but faced with financial hardship in their own stop."
169,"Chiar dacă limbile cehă și slovacă sunt similare, limbajul slovac al semnelor nu este foarte apropiat de .","Even if the Czech and Slovak languages are similar, the Slovak sign language is not very close to."
170,"Cei doi se despart, iar omul din subterană nu o mai vede pe Liza niciodată.","The two separate, and the man in the subsurface never sees it from Liza."
171,Guvernul începuse să dezarmeze forțele rusești în Pohjanmaa.,The government had started to disarm Russian forces in Pohjanmaa.
172,În China și Japonia au fost mai puține inovații artistice din cauza izolaționismului.,In China and Japan there have been fewer artistic innovations due to isolationism.
173,"Astfel, diferite tactici/strategii pot fi folosite pe parcursul unei singure perioade de planificare sau al unui an.","Thus, different tactics / strategies may be used over a single planning period or year."
174,"Totuși, pe 5 decembrie, austriecii au fost nevoiți să se retragă.","However, on 5 December, the Austrian had to withdraw."
175,"Bucătăria irlandeză tradițională se bazează pe carne și lactate, suplimentate cu legume și fructe de mare.","Traditional Irish cheese is based on meat and dairy, supplemented by vegetables and seafood."
176,"popilor”, astfel că întrega agoniseală mobilă și imobilă a fost părăsită”.",The second subparagraph of Article 6 (1) of Directive 2001 / 83 / EC applies.
